127.0.0.1 - - [12/Feb/2021:17:06:08 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [12/Feb/2021:17:06:10 +0900] "GET /BBS/ HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [12/Feb/2021:17:06:12 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3077
0:0:0:0:0:0:0:1 - - [12/Feb/2021:17:06:12 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [12/Feb/2021:17:06:12 +0900] "GET /BBS/css/custom.css HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [12/Feb/2021:17:06:12 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [12/Feb/2021:17:06:12 +0900] "GET /BBS/images/1.jpg HTTP/1.1" 200 2704658
0:0:0:0:0:0:0:1 - - [12/Feb/2021:17:06:12 +0900] "GET /BBS/images/2.jpg HTTP/1.1" 200 127825
0:0:0:0:0:0:0:1 - - [12/Feb/2021:17:06:12 +0900] "GET /BBS/images/3.jpg HTTP/1.1" 200 42045
0:0:0:0:0:0:0:1 - - [12/Feb/2021:17:06:13 +0900] "GET /BBS/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20127
0:0:0:0:0:0:0:1 - - [12/Feb/2021:17:06:20 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3077
0:0:0:0:0:0:0:1 - - [12/Feb/2021:17:06:20 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [12/Feb/2021:17:06:20 +0900] "GET /BBS/css/custom.css HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [12/Feb/2021:17:06:20 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [12/Feb/2021:17:06:20 +0900] "GET /BBS/images/1.jpg HTTP/1.1" 200 2704658
0:0:0:0:0:0:0:1 - - [12/Feb/2021:17:06:20 +0900] "GET /BBS/images/2.jpg HTTP/1.1" 200 127825
0:0:0:0:0:0:0:1 - - [12/Feb/2021:17:06:20 +0900] "GET /BBS/images/3.jpg HTTP/1.1" 200 42045
0:0:0:0:0:0:0:1 - - [12/Feb/2021:17:06:21 +0900] "GET /BBS/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [12/Feb/2021:17:06:22 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/Feb/2021:17:06:25 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 3089
0:0:0:0:0:0:0:1 - - [12/Feb/2021:17:06:51 +0900] "POST /BBS/joinAction.jsp HTTP/1.1" 500 4878
0:0:0:0:0:0:0:1 - - [12/Feb/2021:17:07:38 +0900] "GET /BBS/joinAction.jsp HTTP/1.1" 200 528
